$,private,public,rpar,lpar,id,dot,semi,colon,let,float,integer,rcurbr,lcurbr,struct,return,write,read,while,else,then,if,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,inherits,and,div,mult,rsqbr,lsqbr,impl,arrow,func,not,floatlit,intlit,equal,or
RELEXPR,,,,,ARITHEXPR RELOP ARITHEXPR,ARITHEXPR RELOP ARITHEXPR,,,,,,,,,,,,,,,,,ARITHEXPR RELOP ARITHEXPR,ARITHEXPR RELOP ARITHEXPR,,,,,,,,,,,,,,,,,,ARITHEXPR RELOP ARITHEXPR,ARITHEXPR RELOP ARITHEXPR,ARITHEXPR RELOP ARITHEXPR,,
RELOP,,,,,,,,,,,,,,,,,,,,,,,,,,,geq,leq,gt,lt,neq,eq,,,,,,,,,,,,,,
REPTAPARAMS1,,,,&epsilon,,,,,,,,,,,,,,,,,,,,,,APARAMSTAIL REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,
REPTFPARAMS3,,,,&epsilon,,,,,,,,,,,,,,,,,,,,,,&epsilon,,,,,,,,,,,,ARRAYSIZE REPTFPARAMS3,,,,,,,,
REPTFPARAMS4,,,,&epsilon,,,,,,,,,,,,,,,,,,,,,,FPARAMSTAIL REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,
REPTFPARAMSTAIL4,,,,&epsilon,,,,,,,,,,,,,,,,,,,,,,&epsilon,,,,,,,,,,,,ARRAYSIZE REPTFPARAMSTAIL4,,,,,,,,
REPTFUNCBODY1,,,,,,VARDECLORSTAT REPTFUNCBODY1,,,,VARDECLORSTAT REPTFUNCBODY1,,,&epsilon,,,VARDECLORSTAT REPTFUNCBODY1,VARDECLORSTAT REPTFUNCBODY1,VARDECLORSTAT REPTFUNCBODY1,VARDECLORSTAT REPTFUNCBODY1,,,VARDECLORSTAT REPTFUNCBODY1,,,,,,,,,,,,,,,,,,,,,,,,
REPTFUNCTIONCALL0,,,,,,&epsilon,IDNEST REPTFUNCTIONCALL0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTIDNEST1,,,,&epsilon,,&epsilon,&epsilon,&epsilon,,,,,,,,,,,,,,,&epsilon,&epsilon,,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,,&epsilon,&epsilon,&epsilon,&epsilon,INDICE REPTIDNEST1,,,,,,,&epsilon,&epsilon
REPTIMPLDEF3,,,,,,,,,,,,,&epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF REPTIMPLDEF3,,,,,
REPTOPTSTRUCTDECL22,,,,,,,,,,,,,,&epsilon,,,,,,,,,,,,comma id REPTOPTSTRUCTDECL22,,,,,,,,,,,,,,,,,,,,
REPTPROG0,&epsilon,,,,,,,,,,,,,,STRUCTORIMPLORFUNC REPTPROG0,,,,,,,,,,,,,,,,,,,,,,,,STRUCTORIMPLORFUNC REPTPROG0,,STRUCTORIMPLORFUNC REPTPROG0,,,,,
REPTSTATBLOCK1,,,,,,STATEMENT REPTSTATBLOCK1,,,,,,,&epsilon,,,STATEMENT REPTSTATBLOCK1,STATEMENT REPTSTATBLOCK1,STATEMENT REPTSTATBLOCK1,STATEMENT REPTSTATBLOCK1,,,STATEMENT REPTSTATBLOCK1,,,,,,,,,,,,,,,,,,,,,,,,
REPTSTRUCTDECL4,,VISIBILITY MEMBERDECL REPTSTRUCTDECL4,VISIBILITY MEMBERDECL REPTSTRUCTDECL4,,,,,,,,,,&epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARDECL4,,,,,,,,&epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE REPTVARDECL4,,,,,,,,
REPTVARIABLE0,,,,,,,IDNEST REPTVARIABLE0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE REPTVARIABLE2,,,,,,,,
REPTVARIABLEORFUNCTIONCALL,,,,&epsilon,,,IDNEST REPTVARIABLEORFUNCTIONCALL,&epsilon,,,,,,,,,,,,,,,&epsilon,&epsilon,,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,,&epsilon,&epsilon,&epsilon,&epsilon,,,,,,,,,&epsilon
RETURNTYPE,,,,,,TYPE,,,,,TYPE,TYPE,,,,,,,,,,,,,void,,,,,,,,,,,,,,,,,,,,,
RIGHTRECARITHEXPR,,,,&epsilon,,,,&epsilon,,,,,,,,,,,,,,,ADDOP TERM RIGHTRECARITHEXPR,ADDOP TERM RIGHTRECARITHEXPR,,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,,,,,&epsilon,,,,,,,,,ADDOP TERM RIGHTRECARITHEXPR
RIGHTRECTERM,,,,&epsilon,,,,&epsilon,,,,,,,,,,,,,,,&epsilon,&epsilon,,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,&epsilon,,MULTOP FACTOR RIGHTRECTERM,MULTOP FACTOR RIGHTRECTERM,MULTOP FACTOR RIGHTRECTERM,&epsilon,,,,,,,,,&epsilon
SIGN,,,,,,,,,,,,,,,,,,,,,,,minus,plus,,,,,,,,,,,,,,,,,,,,,,
STATBLOCK,,,,,,STATEMENT,,&epsilon,,,,,,lcurbr REPTSTATBLOCK1 rcurbr,,STATEMENT,STATEMENT,STATEMENT,STATEMENT,&epsilon,,STATEMENT,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,,,id STATEMENT2 REPTASSIGNORFUNCTIONCALL HELPER semi,,,,,,,,,,return lpar EXPR rpar semi,write lpar EXPR rpar semi,read lpar VARIABLE rpar semi,while lpar RELEXPR rpar STATBLOCK semi,,,if lpar RELEXPR rpar then STATBLOCK else STATBLOCK semi,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT2,,,,,lpar APARAMS rpar,,REPTIDNEST1,REPTIDNEST1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTIDNEST1,,,,,,,REPTIDNEST1,
REPTASSIGNORFUNCTIONCALL,,,,,,,IDNEST REPTASSIGNORFUNCTIONCALL,&epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&epsilon,
HELPER,,,,,,,,&epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGNOP EXPR,
STRUCTDECL,,,,,,,,,,,,,,,struct id OPTSTRUCTDECL2 lcurbr REPTSTRUCTDECL4 rcurbr semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUCTORIMPLORFUNC,,,,,,,,,,,,,,,STRUCTDECL,,,,,,,,,,,,,,,,,,,,,,,,IMPLDEF,,FUNCDEF,,,,,
TERM,,,,,FACTOR RIGHTRECTERM,FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,,,FACTOR RIGHTRECTERM,FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,,,,FACTOR RIGHTRECTERM,FACTOR RIGHTRECTERM,FACTOR RIGHTRECTERM,,
TYPE,,,,,,id,,,,,float,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARDECL,,,,,,,,,,let id colon TYPE REPTVARDECL4 semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARDECLORSTAT,,,,,,STATEMENT,,,,VARDECL,,,,,,STATEMENT,STATEMENT,STATEMENT,STATEMENT,,,STATEMENT,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,,,,,,id VARIABLE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE2,,,,REPTIDNEST1 REPTVARIABLE,lpar APARAMS rpar VARIDNEST,,REPTIDNEST1 REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTIDNEST1 REPTVARIABLE,,,,,,,REPTIDNEST1 REPTVARIABLE,
REPTVARIABLE,,,,&epsilon,,,VARIDNEST REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&epsilon,
VARIDNEST,,,,,,,dot id VARIDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIDNEST2,,,,REPTIDNEST1,lpar APARAMS rpar VARIDNEST,,REPTIDNEST1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTIDNEST1,,,,,,,REPTIDNEST1,
VISIBILITY,,private,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
